"",""
"Action","Action"
"An error occurred while updating the Better credit cart form.","An error occurred while updating the Better credit cart form."
"Are you sure?","Are you sure?"
"Change status","Change status"
"Could not find Extension to delete.","Could not find Extension to delete."
"Created at","Created at"
"Declare attribute value saving scope","Declare attribute value saving scope"
"Default Values","Default Values"
"Delete File","Delete File"
"Delete Extension","Delete Extension"
"Delete","Delete"
"Disabled","Disabled"
"Edit","Edit"
"Enable WYSIWYG","Enable WYSIWYG"
"Enabled","Enabled"
"Error saving","Error saving"
"File","File"
"Frontend Properties","Frontend Properties"
"Global","Global"
"Home","Home"
"Id","Id"
"Image","Image"
"No","No"
"None","None"
"Note","Note"
"Better Credit Card Form","Better Credit Card Form"
"Position in the admin form","Position in the admin form"
"Position","Position"
"Properties","Properties"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Scope","Scope"
"Status","Status"
"Store View","Store View"
"Store views","Store views"
"Text to appear below the input.","Text to appear below the input."
"Updated at","Updated at"
"Website","Website"
"Yes","Yes"
"[GLOBAL]","[GLOBAL]"
"[STORE VIEW]","[STORE VIEW]"
"[WEBSITE]","[WEBSITE]"
